Name,address,star,Rating+Noreview,Rank,price,seat,openclosedate-time,type,facilities
CHATA Specialty Coffee,98 ถนนพาดสาย แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ 10100 กรุงเทพมหานคร (ด้านในโรงแรม Baan 2459),4.1, 97 เรตติ้ง (79 รีวิว),อันดับ #4 จาก 162, (101 - 250 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['09:00 - 18:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'CHATA Specialty Coffee': True, 'ที่จอดรถ': False, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
BLOOM PRETZEL & COFFEE,16 ซอย พัฒนาการ 65 กรุงเทพมหานคร (BLOOM PRETZEL & COFFEE),4.1, 18 เรตติ้ง (13 รีวิว),อันดับ #1 จาก 952, (101 - 250 บาท),,"{'อังคาร - ศุกร์': ['08:00 - 16:30'], 'เสาร์, อาทิตย์': ['08:30 - 17:00']}","ร้านกาแฟ/ชา,","[{'BLOOM PRETZEL & COFFEE': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Sriyan Tearoom (ศรีย่าน ทีรูม),"43, ถนนนครไชยศรี ถนนนครไชยศรี ดุสิต กรุงเทพมหานคร กรุงเทพมหานคร (มุ่งหน้าท่าน้ำพายัพ อยู่ก่อนถึงรพ.การไฟฟ้าสามเสน)",3.9, 5 เรตติ้ง (4 รีวิว),อันดับ #2 จาก 332, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['09:00 - 18:00']},"ร้านกาแฟ/ชา,คาเฟ่,","[{'Sriyan Tearoom (ศรีย่าน ทีรูม)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
"ชาและขนมหวาน TE Time And Space, Thonglor 25 (ที ไทม์ แอนด์ สเปซ)","50/5, ซอยทองหล่อ 25, คลองตันเหนือ, กรุงเทพมหานคร, 10110, ประเทศไทย กรุงเทพมหานคร (ตั้งอยู่ที : BTS ทองหล่อ ต่อวินหรือ taxi มาซอยทองหล่อ 25 ร้านอยู่ตรงข้ามคอนโด Art @Thonglor)",4.1, 27 เรตติ้ง (21 รีวิว),อันดับ #10 จาก 947, (101 - 250 บาท),11 - 40 ที่นั่ง,{'พุธ - อาทิตย์': ['10:00 - 19:00']},"ร้านกาแฟ/ชา,อาหารกล่อง/ข้าวกล่อง เดลิเวอรี,เบเกอรี/เค้ก,","[{'ชาและขนมหวาน TE Time And Space, Thonglor 25 (ที ไทม์ แอนด์ สเปซ)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
House of Commons  Cafe & Space,"1038/4, สะพานพิทยเสถียร ตลาดน้อย สัมพันธวงศ์ กรุงเทพมหานคร กรุงเทพมหานคร (เชิงสะพานพิทยเสถียรติดคลองผดุงกรุงเกษม)",4.1, 9 เรตติ้ง (7 รีวิว),อันดับ #5 จาก 162, (ต่ำกว่า 100 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['09:00 - 18:30']},"ร้านกาแฟ/ชา,ของหวาน,","[{'House of Commons  Cafe & Space': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'เดลิเวอรี': True}]"
Nip Cafe,"1358-1362, ถนน พระรามที่ 4 Khlong Toei Khlong Toei Bangkok กรุงเทพมหานคร (-)",3.8, 22 เรตติ้ง (16 รีวิว),อันดับ #3 จาก 532, (101 - 250 บาท),ไม่เกิน 10 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:30 - 17:00'], 'เสาร์, อาทิตย์': ['08:00 - 17:00']}","ร้านกาแฟ/ชา,คาเฟ่,","[{'Nip Cafe': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
% Arabica Bangkok EmQuartier Roastery,693 695 ถ. สุขุมวิท แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย กรุงเทพมหานคร,4, 13 เรตติ้ง (12 รีวิว),อันดับ #11 จาก 947, (101 - 250 บาท),,{'ทุกวัน': ['10:00 - 21:00']},"ร้านกาแฟ/ชา,","[{'% Arabica Bangkok EmQuartier Roastery': True, 'ที่จอดรถ': False, 'รับบัตรเครดิต': True}]"
Hacking Coffee Flagship,"บริษัท แฮกกิ้ง คอฟฟี่  จำกัด เลขที่  4 ซอยลาดพร้าววังหิน 63 ถนนลาดพร้าววังหิน, ลาดพร้าว, เขตลาดพร้าว, กรุงเทพมหานคร 10230 กรุงเทพมหานคร",4, 8 เรตติ้ง (8 รีวิว),อันดับ #5 จาก 680, (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - อังคาร': ['07:00 - 20:00'], 'พุธ': ['07:00 - 17:30'], 'พฤหัสบดี - อาทิตย์': ['07:00 - 20:00']}","ร้านกาแฟ/ชา,คาเฟ่,","[{'Hacking Coffee Flagship': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
หูกระจงเฮ้าส์ (Hookrajong Haus),"545 ซอยปรีดี พนมยงค์ 42, คลองตันเหนือ, เขตวัฒนา, กรุงเทพมหานคร 10110, คลองตันเหนือ, เขตวัฒนา, กรุงเทพมหานคร 10110 กรุงเทพมหานคร",3.9, 3 เรตติ้ง (2 รีวิว),อันดับ #9 จาก 257," (501 - 1,000 บาท)",,"{'จันทร์': ['08:00 - 21:00'], 'พุธ - พฤหัสบดี': ['08:00 - 21:00'], 'ศุกร์ - เสาร์': ['08:00 - 23:00'], 'อาทิตย์': ['08:00 - 21:00']}","อาหารฟิวชั่น,สเต๊ก,ร้านกาแฟ/ชา,","[{'หูกระจงเฮ้าส์ (Hookrajong Haus)': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
Sundance Lounge,251/1 ซอย ทองหล่อ 13 กรุงเทพมหานคร (ตั้งอยู่ที : Seenspace Thonglor 13),3.9, 22 เรตติ้ง (16 รีวิว),อันดับ #13 จาก 946, (101 - 250 บาท),,{'ทุกวัน': ['10:00 - 22:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'Sundance Lounge': True, 'ที่จอดรถ': True, 'รับบัตรเครดิต': True}]"
บอททอมเลส (Bottomless),"80/14,Thanon Pracharat Bamphen, Huai Khwang, Bangkok, 10310, Thailand กรุงเทพมหานคร",4, 41 เรตติ้ง (37 รีวิว),อันดับ #2 จาก 766, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['07:00 - 18:00']},"ร้านกาแฟ/ชา,คาเฟ่,เบเกอรี/เค้ก,","[{'บอททอมเลส (Bottomless)': True, 'ที่จอดรถ': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
F.I.X. Coffee (Pradiphat Soi 17) (ฟิกซ์ คอฟฟี่ ซ.ประดิพัทธ์ 17),"2, ซอยประดิพัทธิ์ 17, สามเสนใน, กรุงเทพมหานคร, 10400, ประเทศไทย กรุงเทพมหานคร (ร้านสีขาว ประตูไม้ ห้องแรก)",3.8, 32 เรตติ้ง (25 รีวิว),อันดับ #9 จาก 517, (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:00 - 16:00'], 'เสาร์, อาทิตย์': ['08:00 - 17:00']}","ร้านกาแฟ/ชา,คาเฟ่,","[{'F.I.X. Coffee (Pradiphat Soi 17) (ฟิกซ์ คอฟฟี่ ซ.ประดิพัทธ์ 17)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Other cafe,"101/7, ถนน รางน้ำ ถนนพญาไท ราชเทวี กรุงเทพมหานคร กรุงเทพมหานคร (เป็นอาคารปูนเปลือย มีป้ายางน้ำซีฟู้ดติดอยู่ ร้านอยู่ตรงข้างโรงแรมบิซโซเทล ทางเข้าซอยราชวิถี1)",4.1, 41 เรตติ้ง (29 รีวิว),อันดับ #5 จาก 131, (101 - 250 บาท),ไม่เกิน 10 ที่นั่ง,{'ทุกวัน': ['08:00 - 18:00']},"คาเฟ่,ร้านกาแฟ/ชา,","[{'Other cafe': True, 'ที่จอดรถ': False, 'Wi-Fi': False, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
Rolly and Friends (โรลี่แอนด์เฟร์น),"209, Thanon Khu Bon, Ram Inthra, Bangkok, 10230, Thailand กรุงเทพมหานคร (ร้านวัสดุก่อสร้าง จอดหน้าตึกได้)",3.9, 21 เรตติ้ง (20 รีวิว),อันดับ #2 จาก 113, (ต่ำกว่า 100 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['08:00 - 18:00']},"คาเฟ่,ร้านกาแฟ/ชา,ของหวาน,","[{'Rolly and Friends (โรลี่แอนด์เฟร์น)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
WWAPORTAL,Soi Sukhumvit 19 กรุงเทพมหานคร (150meter left side),3.9, 51 เรตติ้ง (47 รีวิว),อันดับ #14 จาก 946, (101 - 250 บาท),,{'ทุกวัน': ['08:00 - 20:00']},"ร้านกาแฟ/ชา,","[{'WWAPORTAL': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
Three Bears Pastry,ถนน สุขสวัสดิ์ กรุงเทพมหานคร (เข้าซอยสุขสวัสดิ์ 30 ประมาณ 300 เมตร จะเจอ 3 แยก ให้เลี้ยวซ้าย ร้านจะอยู่ซ้ายมือ ด้านบนสอนทำขนม),4.1, 91 เรตติ้ง (69 รีวิว),อันดับ #1 จาก 52, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['08:00 - 18:00']},"คาเฟ่,ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'Three Bears Pastry': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
A Hidden Lab,4 ซอย 9 แขวง สวนหลวง แขวงสวนหลวง กรุงเทพมหานคร ประเทศไทย กรุงเทพมหานคร,4.2, 16 เรตติ้ง (14 รีวิว),อันดับ #3 จาก 677, (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - อังคาร': ['09:00 - 19:00'], 'พฤหัสบดี - อาทิตย์': ['09:00 - 19:00']}","ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'A Hidden Lab': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Lynx,Lynx โพธิ์นิมิตร กรุงเทพมหานคร (Bts โพธิ์นิมิตร),4.1, 41 เรตติ้ง (30 รีวิว),อันดับ #2 จาก 379, (101 - 250 บาท),,{'อังคาร - อาทิตย์': ['09:00 - 18:00']},"ร้านกาแฟ/ชา,คาเฟ่,เบเกอรี/เค้ก,","[{'Lynx': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Cuppa Beluga Cafe,"46/1, ถนน เทศบาลนิมิตรเหนือ ลาดยาว จตุจักร กรุงเทพมหานคร กรุงเทพมหานคร (อยู่ติดกับวิทยาลัยวราธิป ร้านสีครีมขาว โลโก้รูปปลาวาฬเบลูก้า)",4, 9 เรตติ้ง (7 รีวิว),"อันดับ #3 จาก 1,300", (101 - 250 บาท),,"{'อังคาร - ศุกร์': ['08:30 - 17:00'], 'เสาร์, อาทิตย์': ['09:00 - 18:00']}","ร้านกาแฟ/ชา,คาเฟ่,เบเกอรี/เค้ก,","[{'Cuppa Beluga Cafe': True, 'ที่จอดรถ': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Avant Garden (Avant Garden),"603/1, ถนนหทัยราษฎร์ บางชัน คลองสามวา กรุงเทพมหานคร กรุงเทพมหานคร",4, 8 เรตติ้ง (7 รีวิว),อันดับ #1 จาก 740, (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์': ['08:00 - 18:00'], 'พุธ - อาทิตย์': ['08:00 - 18:00']}","ร้านกาแฟ/ชา,คาเฟ่,ของหวาน,","[{'Avant Garden (Avant Garden)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Somersault Coffee Roasters,"604/137, ถนนสาธุประดิษฐ์ กรุงเทพมหานคร",4.1, 118 เรตติ้ง (94 รีวิว),อันดับ #2 จาก 348, (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์': ['09:00 - 17:00'], 'อังคาร - ศุกร์': ['08:00 - 17:30'], 'เสาร์, อาทิตย์': ['09:00 - 17:30']}","ร้านกาแฟ/ชา,ของหวาน,","[{'Somersault Coffee Roasters': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Starbucks (สตาร์บัคส์),299 ถ. เจริญนคร แขวง คลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย กรุงเทพมหานคร,4.1, 47 เรตติ้ง (41 รีวิว),อันดับ #5 จาก 298, (101 - 250 บาท),,{'ทุกวัน': ['10:00 - 22:00']},"ร้านกาแฟ/ชา,","[{'Starbucks (สตาร์บัคส์)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True}]"
Rocca (รอคค่า),"57 ซอย เสนาร่วม เขตพญาไท กรุงเทพมหานคร 10400, สามเสนใน, เขตพญาไท, กรุงเทพมหานคร 10400 กรุงเทพมหานคร",4.1, 33 เรตติ้ง (24 รีวิว),อันดับ #6 จาก 40, (251 - 500 บาท),41 - 80 ที่นั่ง,{'อังคาร - อาทิตย์': ['11:30 - 21:30']},"อาหารอิตาเลียน,คาเฟ่,ร้านกาแฟ/ชา,","[{'Rocca (รอคค่า)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
โกปี๊เฮี้ยะไถ่กี่ (Kope Hya Tai Kee),"37, ถนนศิริพงษ์ สำราญราษฎร์ พระนคร กรุงเทพมหานคร กรุงเทพมหานคร (ข้างศาลาว่าการกทม.)",3.8, 248 เรตติ้ง (206 รีวิว),"อันดับ #38 จาก 4,624", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['07:00 - 20:00']},"อาหารเช้า,คาเฟ่,ร้านกาแฟ/ชา,","[{'โกปี๊เฮี้ยะไถ่กี่ (Kope Hya Tai Kee)': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Happy Espresso (แฮปปี้เอสเพรสโซ),ถนน วงเวียนยี่สิบสองกรกฎาคม กรุงเทพมหานคร (ร้านอยู่ติดร้านยืนยงพลาสติก),3.9, 39 เรตติ้ง (33 รีวิว),อันดับ #4 จาก 182, (ต่ำกว่า 100 บาท),ไม่เกิน 10 ที่นั่ง,{'จันทร์ - เสาร์': ['09:30 - 16:30']},"ร้านกาแฟ/ชา,","[{'Happy Espresso (แฮปปี้เอสเพรสโซ)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
CPS COFFEE Sukhumvit 53,"63/1, สุขุมวิท53 คลองตันเหนือ วัฒนา กรุงเทพมหานคร กรุงเทพมหานคร",4, 10 เรตติ้ง (9 รีวิว),อันดับ #15 จาก 946, (101 - 250 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['07:00 - 18:00']},"ร้านกาแฟ/ชา,คาเฟ่,เบเกอรี/เค้ก,","[{'CPS COFFEE Sukhumvit 53': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
laze,59-61 ถนน สุทธิสารวินิจฉัย เขตพญาไท กรุงเทพมหานคร 10400 กรุงเทพมหานคร,3.8, 30 เรตติ้ง (19 รีวิว),อันดับ #11 จาก 517, (101 - 250 บาท),41 - 80 ที่นั่ง,{'อังคาร - อาทิตย์': ['09:00 - 18:00']},"ร้านกาแฟ/ชา,คาเฟ่,เบเกอรี/เค้ก,","[{'laze': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Sunny Bear Coffee Roasters,57 ถนนพหลโยธิน กรุงเทพมหานคร,4.2, 25 เรตติ้ง (21 รีวิว),อันดับ #1 จาก 232, (101 - 250 บาท),,{'อังคาร - อาทิตย์': ['09:30 - 18:30']},"คาเฟ่,ร้านกาแฟ/ชา,","[{'Sunny Bear Coffee Roasters': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False}]"
Begin Again,1 soi Krungthep Kreetha 32 Saphansung Bangkok กรุงเทพมหานคร,3.8, 29 เรตติ้ง (22 รีวิว),อันดับ #2 จาก 118, (101 - 250 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['12:00 - 23:59']},"คาเฟ่,ร้านกาแฟ/ชา,อาหารฟิวชั่น,","[{'Begin Again': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
BAKEBURY Espresso Bar,"243/199 Soi Lat Phrao 1, Chom Phon, Bangkok, 10900, Thailand, จอมพล, เขตจตุจักร, กรุงเทพมหานคร 10900,  กรุงเทพมหานคร 10900, จอมพล, เขตจตุจักร, กรุงเทพมหานคร 10900 กรุงเทพมหานคร (ลาดพร้าว ซ.1 เข้าซอยมา 50 ม.
 MRT พหลโยธิน exit 5
 BTS ห้าแยกลาดพร้าว เดินทะลุ Unionmall
 ที่จอดรถของโครงการ ชม.ละ 20 บาท ซื้อขนมในร้านจอดฟรี 1 ชม.)",4.1, 25 เรตติ้ง (22 รีวิว),"อันดับ #4 จาก 1,300", (101 - 250 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['07:00 - 18:00']},"ร้านกาแฟ/ชา,คาเฟ่,เบเกอรี/เค้ก,","[{'BAKEBURY Espresso Bar': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Midnight A Cocoa (มิดไนท์ อะ โกโก้),347/1 ถนนประชาธิปก แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร (ลงสะพานพระปกเกล้า ร้านอยู่ซ้ายมือติดกับสี่แยกบ้านแขก ติดร้านสุนทรวาดรูป),4, 131 เรตติ้ง (103 รีวิว),อันดับ #6 จาก 298, (ต่ำกว่า 100 บาท),ไม่มีที่นั่ง/จัดส่งเท่านั้น,"{'จันทร์ - อังคาร': ['21:30 - 02:00'], 'พฤหัสบดี': ['21:30 - 02:00'], 'เสาร์': ['00:00 - 02:00', '21:30 - 02:00'], 'อาทิตย์': ['21:30 - 23:59']}","ร้านกาแฟ/ชา,เครื่องดื่ม/น้ำผลไม้,","[{'Midnight A Cocoa (มิดไนท์ อะ โกโก้)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False}]"
ChaEn Tea Experience,"129, ซอย สุขุมวิท 57 คลองตันเหนือ วัฒนา กรุงเทพมหานคร กรุงเทพมหานคร (สุดซอยสุขุมวิท57 เลี้ยวขวา ถัดจากโรงแรมสวัสดี)",4.1, 9 เรตติ้ง (8 รีวิว),อันดับ #16 จาก 946, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['10:00 - 18:00']},"ร้านกาแฟ/ชา,ของหวาน,","[{'ChaEn Tea Experience': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Go coffee & Ice-cream (โกะ คอฟฟี่แอนด์ไอศครีม),ถนน พระราม 3 ซอย 11 กรุงเทพมหานคร (เข้ามาในหมู่บ้านภัคดี 100 เมตร ร้านอยู่ทางขวามือ),4, 66 เรตติ้ง (49 รีวิว),อันดับ #2 จาก 222, (101 - 250 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['10:00 - 18:30']},"ร้านกาแฟ/ชา,ไอศกรีม,","[{'Go coffee & Ice-cream (โกะ คอฟฟี่แอนด์ไอศครีม)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
SobtaCafe (สบตา คาเฟ่ต์),ค่าส่งเริ่มต้น 0 บาท *ภายในระยะทางที่กำหนด,4.1, 7 เรตติ้ง (2 รีวิว),อันดับ #3 จาก 807, (ต่ำกว่า 100 บาท),11 - 40 ที่นั่ง,"{'จันทร์': ['08:00 - 19:30'], 'อังคาร - ศุกร์': ['07:00 - 19:30'], 'เสาร์, อาทิตย์': ['08:00 - 19:30']}","ร้านกาแฟ/ชา,คาเฟ่,","[{'SobtaCafe (สบตา คาเฟ่ต์)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
Bartels Craft Bread Coffee & Juicery,760/1 ถ. สุขุมวิท กรุงเทพมหานคร,4.2, 13 เรตติ้ง (9 รีวิว),อันดับ #3 จาก 350, (251 - 500 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['07:00 - 17:30']},"เบเกอรี/เค้ก,ร้านกาแฟ/ชา,อาหารนานาชาติ,","[{'Bartels Craft Bread Coffee & Juicery': True, 'ที่จอดรถ': False, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Krispy Kreme (คริสปี้ครีม),991 ถนนพระราม 1 กรุงเทพมหานคร (Krispy Kreme ชั้น G โซน Food Hall Siam Paragon),3.7, 182 เรตติ้ง (164 รีวิว),อันดับ #18 จาก 935, (ต่ำกว่า 100 บาท),ไม่เกิน 10 ที่นั่ง,{'ทุกวัน': ['10:00 - 20:30']},"อาหารอเมริกัน,ร้านกาแฟ/ชา,ของหวาน,","[{'Krispy Kreme (คริสปี้ครีม)': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Spring Matcha,159/23 หมู่บ้านสัมมากร รามคำแหง110 สะพานสูง กทม. 10240 กรุงเทพมหานคร (ติดร้านรวมโชคข้าวผัดปู),4.2, 65 เรตติ้ง (44 รีวิว),อันดับ #6 จาก 496, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['07:00 - 18:00']},"ร้านกาแฟ/ชา,","[{'Spring Matcha': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Old Town Cafe (โอลทาวน์ คาเฟ่),To mm hi130/11-12 ถนน เฟื้องนคร กรุงเทพมหานคร (สี่กั๊กพระยาศรี),4.1, 63 เรตติ้ง (53 รีวิว),อันดับ #7 จาก 496, (101 - 250 บาท),81 - 150  ที่นั่ง,"{'จันทร์ - อังคาร': ['09:00 - 16:00'], 'เสาร์, อาทิตย์': ['08:00 - 16:00']}","ร้านกาแฟ/ชา,","[{'Old Town Cafe (โอลทาวน์ คาเฟ่)': True, 'ที่จอดรถ': False, 'Wi-Fi': False, 'รับบัตรเครดิต': False}]"
Larna House (ลาร์นา เฮ้าส์),ถนน พัฒนาการ 61 กรุงเทพมหานคร (ซอยพัฒนาการ 61 อยู่ในหมู่บ้านเมืองทอง 2/2 เลยป้อมยามไปประมาณ 300ม.),4.1, 32 เรตติ้ง (26 รีวิว),อันดับ #5 จาก 448, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['09:00 - 20:00']},"เบเกอรี/เค้ก,ร้านกาแฟ/ชา,ของหวาน,","[{'Larna House (ลาร์นา เฮ้าส์)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
